target_x,target_y,target_z,q1,q2,q3,q4,q5_claw
0.001309263407,-0.3236443337,0.3355157005,-1.566750765,-0.6827927232,1.010769248,0.6389009953,0
-0.1707369043,-0.359960785,0.1277170194,-2.013690233,-1.057406187,0.803838253,0.4512464106,0
-0.1488422248,0.04793814679,0.3859526191,2.830039024,0.6019312739,0.2355885506,-0.511963129,0
0.1875951523,0.06346114053,0.4109826229,0.3262411356,0.2696122229,0.5373527408,-0.3171809018,0
-0.007635671735,0.1988144007,0.07692956547,1.607909083,-0.3385087252,-1.109209895,1.59264493,0
0.2020243944,-0.1135896923,0.2761944264,2.629643679,0.6659263372,1.518975377,1.808074236,0
-0.1744015557,-0.1002918611,0.08224230416,-2.620016098,0.3380874693,-0.9786630273,0.06046947092,0
-0.03659387133,0.06901747094,0.3235832889,2.059843302,0.7169662714,0.5229539871,-1.742192388,0
-0.3335177764,0.2268422183,0.09779659303,-0.5972840786,1.945534348,1.293218493,-0.4581697285,0
0.2822803241,-0.164902904,0.1873045411,-0.5287083387,-0.3863783181,0.5687029362,-0.7795319557,0
-0.2466605765,-0.0918144181,0.2357001316,-2.785611391,0.2284151614,-0.1173830777,-0.3304685354,0
-0.1714857626,-0.2061293029,0.3097236294,-2.264810801,0.1361430883,0.2371351123,-0.2942213714,0
0.406005526,-0.03791549838,0.09668908707,-0.09311665595,-1.24801302,1.032269359,0.3114108145,0
-0.3120717591,0.08839304876,0.07777163416,2.865582943,-0.7941583395,0.7828785777,-1.137508035,0
-0.1808566669,-0.1918326899,0.4051157238,-2.326753378,-0.2368124723,0.8381329775,0.2563103437,0
0.3562553176,0.01915563358,0.2293699825,0.05371773615,-0.7178123593,0.54748559,0.8417449594,0
-0.3901756454,-0.02599539523,0.130067043,-3.07506609,-1.132071376,0.8105228543,0.739002645,0
0.07099096528,-0.3407962852,0.1169867741,1.776211977,2.132260084,0.2446405739,1.192702413,0
-0.0516640279,0.1018990416,0.0722664414,-1.101552844,-1.213426113,-1.444254756,-0.6880014539,0
0.05984911449,0.2643983915,0.3403532354,1.348256111,0.03202689439,0.4860003889,-0.3403910398,0
0.03503784017,0.2450310474,0.1664114173,1.429362655,-0.2436046451,-0.6596669555,1.540108442,0
0.2489037333,-0.1150769172,0.2630956655,-0.433036387,0.1460202634,-0.1923891008,0.3140544593,0
0.3486761765,0.1462639098,0.1579229728,0.3971888125,-0.8092627525,0.4932461977,0.5963830948,0
-0.1872801704,-0.08399846009,0.4084817935,0.4215240777,1.292948127,0.3114896715,0.7039279938,0
0.02285843944,-0.2402568954,0.3738116803,-1.476090312,-0.1776372194,1.222559929,-1.045179009,0
0.195034473,-0.1004476885,0.06281497683,-0.4755969644,-0.7787693143,-0.7688276172,1.961402416,0
-0.1457818105,-0.1824677399,0.2944310064,-2.24471879,0.1363253593,-0.3463485837,1.120851278,0
-0.04231144364,-0.2880631727,0.2360204597,1.424936414,0.9265071154,1.46972549,1.549769521,0
-0.07504202832,-0.1309241345,0.08668590915,-2.092695951,0.6250274181,-1.524939656,0.7756800652,0
-0.03304726253,0.03818727626,0.2525226148,2.284162998,0.8547001481,-1.285087347,2.094395161,0
-0.2905848397,-0.03973547241,0.1880564605,0.1359913498,1.361070871,0.9021917582,1.877968788,0
0.1532792429,-0.05238531227,0.4177460426,-0.3294104934,0.3196641505,0.7653070688,-0.7793658972,0
-0.2338923376,-0.06714200242,0.4307842076,0.2795495987,0.7986872792,1.564753056,-0.3625842929,0
0.1314475568,-0.2996454658,0.3431787049,1.984194279,1.25955081,1.021400928,0.3742409348,0
-0.002486191393,-0.1237927412,0.2426228488,1.550715566,2.181661606,-1.213675022,1.539626241,0
-0.0884956352,0.2575316109,0.243582547,-1.239894152,1.880664349,-0.1666273475,1.442764997,0
-0.08661656778,-0.1715117799,0.1971524488,1.103145957,2.061612844,0.6232015491,-2.038825274,0
-0.2270088144,0.128502225,0.3753105781,-0.515142858,1.41154778,0.9234778285,-0.6209217906,0
-0.3484346292,-0.02186512806,0.2743555974,0.06267761439,1.634249687,0.6288223267,0.5972717404,0
-0.09707158328,-0.3404444754,0.2604493779,1.293035507,1.667810559,0.6176695228,0.6386403441,0
-0.2815071063,-0.2819798855,0.1870712353,-2.355355024,-1.032909155,1.308608413,-0.3455663919,0
-0.1301326969,-0.1307275493,0.1698050541,-2.354041576,0.4111286998,-0.2453148961,-1.210346937,0
-0.1620563537,-0.006484763123,0.4043356114,0.04000385106,1.523982167,0.07205489278,0.1724207699,0
0.2376601735,0.2390756243,0.1785266965,-2.353226423,2.060821772,0.9733196497,-1.078555942,0
-0.06431452314,-0.1092991079,0.4283991133,1.038911819,1.221695662,0.08227274567,0.7289664149,0
-0.1948592194,-0.03847693159,0.3423759963,-2.946640015,0.06990752369,0.9847630858,-1.429845572,0
-0.06246125851,0.01287954098,0.2864532656,2.938241959,0.6748350263,-0.9554719329,2.094395161,0
0.2680331579,0.1849815306,0.1433716693,0.6035501957,-0.3243204355,-0.1096413434,0.3223679066,0
-0.2657839356,0.06343934573,0.1037266755,2.907420874,-0.5489736795,-0.5256015658,1.46077323,0
-0.01623084348,-0.1484577843,0.3501959106,1.461899638,1.019037366,0.1448832005,1.932649612,0
-0.2015935178,-0.01217849454,0.3814135142,0.0603803359,1.567745447,0.4845241904,-0.5853573084,0
-0.2530162683,0.1961561662,0.06704818924,-0.65947932,2.181661606,0.233589083,1.598752499,0
-0.2589116787,-0.2346209118,0.108495552,-2.405415535,-0.5783792138,0.09082454443,0.3227607608,0
0.2613077248,0.1743929632,0.2964443834,0.5884889364,-0.1808813512,0.4965466857,-0.1947283298,0
0.01869753325,0.2364298708,0.3971038058,-1.649712563,1.161673069,0.5704062581,0.8726899028,0
